4.610497999999999763e+01,7.075549999999999784e+00,4.615612183000000073e+02
4.610519000000007850e+01,7.075486642674575499e+00,4.615901234206199319e+02
4.610542689167823482e+01,7.075555630559413167e+00,4.614712958406327630e+02
4.610569108291582552e+01,7.075639858997755383e+00,4.625394469689948664e+02
4.610595550404179477e+01,7.075721448432050309e+00,4.643894392814357843e+02
4.610622092424701890e+01,7.075790231061754199e+00,4.636561622424172810e+02
4.610648491467151899e+01,7.075874261334720750e+00,4.629345264824939363e+02
4.610674981242463133e+01,7.075949946407038560e+00,4.627879455946269331e+02
4.610701505063239125e+01,7.076019806434446835e+00,4.628243996570087688e+02
4.610727914468664324e+01,7.076104857695961314e+00,4.626777297035034735e+02
4.610754368241713053e+01,7.076184834219131581e+00,4.623811952732282862e+02
4.610780822014761071e+01,7.076264810742301847e+00,4.620846608429530988e+02
4.610807275787809800e+01,7.076344787265473002e+00,4.617881264126779115e+02
4.610833626893446535e+01,7.076435561165768107e+00,4.620973257841305895e+02
4.610860095083602772e+01,7.076513692927617782e+00,4.617528836614728789e+02
4.610886568346163017e+01,7.076591175647306109e+00,4.609975367179936825e+02
4.610913063070598383e+01,7.076665913475437719e+00,4.605426067935865149e+02
4.610939564682472280e+01,7.076739770426562437e+00,4.601840852114511335e+02
4.610966013394300944e+01,7.076819127439003765e+00,4.598074209317422287e+02
4.610992470086186046e+01,7.076898233620621426e+00,4.593242088703876789e+02
4.611016892611637275e+01,7.077077852232743993e+00,4.594058408891974636e+02
4.611037556496463452e+01,7.077224435035356365e+00,4.592732404540066113e+02
4.611062388940595724e+01,7.077126690843722479e+00,4.577516583721486541e+02
4.611088976057943967e+01,7.077141760171344664e+00,4.570229131973646304e+02
4.611115440263755971e+01,7.077220034582899721e+00,4.560617047653097984e+02
4.611141904469567265e+01,7.077298308994455667e+00,4.551004963332549664e+02
4.611168373221152450e+01,7.077375994825138683e+00,4.551870217996279280e+02
4.611194847153170429e+01,7.077453009900113834e+00,4.564675607411781471e+02
4.611221325177278629e+01,7.077529500506500426e+00,4.572699487275232286e+02
4.611247716043879308e+01,7.077614864175506781e+00,4.573625802541693020e+02
4.611274157366248261e+01,7.077695472098708862e+00,4.575199293364835853e+02
4.611299915218430101e+01,7.077815229819586662e+00,4.573724775578604635e+02
4.611318192819551598e+01,7.078081928195518735e+00,4.543869284748293467e+02
4.611339316519302400e+01,7.077963669614140585e+00,4.554832295915773557e+02
4.611364052708666605e+01,7.077966316026626181e+00,4.566435383519508946e+02
4.611390398049112349e+01,7.078057029811477996e+00,4.573721138141784763e+02
